ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"38.127.172.28","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","11537","socks4","4694","1","2023-07-07T10:06:23.216Z","100","2719","2721"
"171.35.172.147","elite","AS4837","CN","China Unicom Jiangxi Province Network","190","N/A","9999","socks4","3694","1","2023-07-07T10:06:23.215Z","64","1695","2655"
"168.227.158.49","elite","AS52898","BR","Multipla ServiÔos Inteligentes","201","Multipla Serviços Inteligentes","4145","socks4","4400","1","2023-07-07T10:06:23.217Z","99","2740","2758"
"185.66.59.192","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","28","Svint","42647","socks4","4677","1","2023-07-07T10:06:23.216Z","87","2415","2763"
"36.66.36.252","elite","AS7713","ID","PT. Telekomunikasi Indonesia","174","N/A","4153","socks4","4802","1","2023-07-07T10:06:23.213Z","100","2769","2776"
"165.22.58.191","elite","AS14061","SG","DigitalOcean, LLC","191","DigitalOcean, LLC","42311","socks5","4996","1","2023-07-07T10:06:21.130Z","90","2515","2780"
"103.54.148.34","elite","AS134128","BD","Mega Speed","187","N/A","1080","socks4","4100","1","2023-07-07T10:06:21.130Z","99","2756","2770"
"77.37.155.85","elite","AS42610","RU","NCNET","54","N/A","1080","socks5","4305","1","2023-07-07T10:06:21.443Z","90","2469","2732"
"103.124.95.254","elite","AS131353","VN","NhanHoa Software company","194","NhanHoa Software company","55338","socks4","4699","1","2023-07-07T10:06:21.444Z","96","2644","2768"
"203.28.8.65","elite","AS209242","CY","Cloudflare London, LLC","15","Lachtaristo Holdings Limited","80","socks4","4990","1","2023-07-07T10:06:21.127Z","100","2735","2735"
"192.12.113.225","elite","AS61942","BR","Turbonet Telecom Ltda","216","Turbonet Telecom Ltda","4145","socks4","4400","1","2023-07-07T10:06:21.128Z","72","1957","2715"
"216.107.129.72","elite","AS61317","US","Ipxo LLC","95","N/A","10180","socks5","4907","1","2023-07-07T10:06:21.126Z","100","2698","2698"
"45.196.151.120","elite","AS7018","US","AT&T Services","95","AQUA Networks Limited","5432","socks4","4706","1","2023-07-07T10:06:21.447Z","97","2621","2700"
"192.241.249.237","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","41745","socks4","4704","1","2023-07-07T10:06:21.127Z","100","2754","2760"
"185.220.226.235","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","101","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","4302","4","2023-07-07T10:06:19.037Z","82","2199","2670"
"46.227.162.98","elite","AS31059","RU","Avelacom","58","N/A","33802","socks4","5002","1","2023-07-07T10:06:19.133Z","99","2758","2772"
"178.76.254.130","elite","AS15774","RU","Electro-com Rostov","90","ZAO \"Electro-Com Don\"","4145","socks4","4999","1","2023-07-07T10:06:19.035Z","99","2757","2771"
"203.24.103.8","elite","AS209242","VG","Cloudflare London, LLC","18","Anaga Consulting Limited","80","socks4","4797","1","2023-07-07T10:06:18.946Z","100","2673","2674"
